  241.1	  227.6	0.91	YEMENOS
  280.7	 1143.8	0.90	3October2025
  298.1	 1167.9	0.97	14:44:45
  337.1	  449.1	0.89	FEDInc.Chgs
  364.1	  112.0	0.90	30MAR20
  364.1	  295.0	0.95	FT2009006CSO
  364.1	  520.7	0.95	SERVICECHARGES 30MAR20
  361.7	  737.5	0.94	0.25
  360.5	 1063.8	0.98	46.49
  392.3	  461.1	0.88	lcic.Chg022020
  421.1	  112.6	0.98	30MAR20
  419.3	  293.2	0.99	FT20090V185Y
  420.5	  520.1	0.95	SERVICE CHARGES 30MAR20
  419.3	  737.5	0.98	0.05
  416.9	 1064.4	0.93	46.44
  449.8	  449.7	0.92	FEDInc.Chgs
  477.4	  111.4	0.98	20APR20
  476.8	  295.0	0.96	FT20111XCV23
  475.6	  519.5	0.96	SERVICECHARGES 20APR20
  475.6	  738.7	0.97	0.26
  473.2	 1064.4	0.84	46.15
  505.0	  463.0	0.91	Inoid.Chg032020
  533.8	  112.0	0.98	20APR20
  532.6	  296.8	0.91	FT201111Q1FW
  532.0	  520.1	0.96	SERVICE CHARGES 20APR20
  532.0	  738.7	0.98	0.05
  529.6	 1064.4	0.89	46,13
  561.4	  449.7	0.94	FEDinc.Chgs
  590.8	  111.4	0.94	30JUN20
  589.6	  295.0	0.98	FT20182F0BNV
  588.4	  518.9	0.94	SERVICECHARGES JO JUN20
  587.2	  738.7	0.99	0.25
  585.4	 1065.0	0.88	45.85
  617.8	  463.0	0.89	lrcid.Chg042020
  646.6	  110.2	0.98	30JUN20
  644.8	  296.8	0.95	FT20182NNC8C
  644.8	  520.1	0.94	SERVICE CHARGES 3O JUN20
  643.6	  738.7	0.99	0.05
  641.2	 1064.4	0.97	45.83
  674.2	  450.3	0.90	FEDInc.Chgs
  704.8	  111.4	0.50	3500
  702.4	  293.2	0.98	FT2027451Q01
  700.6	  519.5	0.91	SERVICECHARGES 3O SEP20
  700.0	  738.7	0.99	0.25
  697.0	 1064.4	0.89	45.58
  730.6	  463.0	0.89	Incid.Chg052020
  760.5	  111.4	0.95	30SEP20
  758.1	  295.0	0.99	FT20274PLG7S
  756.3	  519.5	0.95	SERVICECHARGES 30SEP20
  755.1	  738.7	0.99	0.05
  753.9	 1064.4	0.91	45,53
  786.3	  449.7	0.87	FED Inc.Chgs
  813.3	  311.8	0.86	Balance atPerod En
  809.1	 1064.4	0.97	45.53
  833.7	  244.4	0.69	P
  991.5	  680.3	0.53	GO
 2023.7	 1195.0	0.69	404
