 1306.4	  579.7	0.96	24NOV14
 1309.4	  896.4	0.97	6,533.93
 1310.6	 1065.6	0.92	60,269.75
 1334.6	   96.9	0.97	11DEC14
 1332.8	  286.6	0.96	FT1434557056K09
 1334.0	  440.1	0.90	AccountTranafer
 1335.2	  581.0	0.99	11DEC14
 1337.0	  738.7	0.98	12,000.00
 1339.3	 1065.6	0.84	48,209.75
 1362.1	  450.9	0.95	CASHWITHDRAWL
 1392.1	   96.3	0.99	26DEC14
 1390.3	  287.8	0.92	FT1436064014B08
 1392.1	  579.7	0.95	26DEC14
 1393.3	  897.0	0.96	6,425.47
 1395.7	 1066.2	0.93	54,605.22
 1420.9	   94.5	0.85	06JAN15
 1419.1	  271.5	0.99	TT1500601200
 1420.3	  439.5	0.89	Cash Withdrawal
 1420.9	  579.1	0.97	06JAN15
 1420.3	  735.1	0.91	3,100.00
 1423.3	 1066.2	0.94	51,505.22
 1447.3	  411.2	0.80	7108810
 1476.1	   93.3	0.70	06J15
 1475.5	  287.2	0.96	FT1500627028L77
 1476.1	  579.1	0.79	06JAN15
 1477.3	  734.5	0.92	5,000.00
 1479.1	 1066.8	0.89	45.605.22
 1504.3	  414.2	0.96	TRFPKR
 1533.1	   95.1	0.83	14JAN15
 1532.5	  286.0	1.00	FT1501415713L77
 1533.1	  438.9	0.91	Account Tranafer
 1534.3	  579.7	0.85	14JA15
 1534.3	  727.8	0.98	450.00
 1536.1	 1066.8	0.93	45,155.22
 1561.3	  421.4	0.96	CASHPAID
 1590.1	  408.2	0.90	Transter
 1590.1	  579.1	0.97	19JAN15
 1589.5	   95.1	0.92	1015
 1589.5	  287.2	0.83	FT1501901609D98
 1592.5	  897.6	0.87	0,430.56
 1593.7	 1066.2	0.89	51,56.00
 1618.9	   95.7	0.97	13FEB15
 1618.3	  286.0	0.99	FT1504472050L77
 1620.1	  438.9	0.98	AccountTransfer
 1620.1	  579.7	0.93	13FEB15
 1620.1	  734.5	0.96	2,150.00
 1621.9	 1066.8	0.81	49,436.00
 1646.4	  414.8	0.70	inoosn
 1674.6	   95.7	0.94	10FEB15
 1674.6	  287.2	0.87	FT1605057161600
 1674.0	  408.2	0.77	Trarstee
 1675.2	  579.1	0.87	楼FEB15
 1677.0	  898.2	0.81	6.386.43
 1677.6	 1067.4	0.90	55,822.51
 1703.4	   95.7	0.89	19FED15
 1702.8	  286.0	0.96	FT1505037303L77
 1703.4	  438.3	0.88	Account Transler
 1702.8	  579.1	0.87	10FEB15
 1704.6	  735.1	0.96	3,15000
 1705.8	 1066.8	0.95	52.672.51
 1731.0	  418.4	0.97	FUNDTRF
 1759.8	   96.9	0.92	0MAR15
 1759.2	  286.0	0.94	FT1506290852K04
 1759.2	  437.7	0.83	Accont Transfar
 1759.8	  580.3	0.93	3MAR15
 1761.6	  734.5	0.92	5,000.00
 1761.6	 1068.0	0.92	47,672.51
